Year,Country,Fuels_Coal,Fuels_Oil,Fuels_Gas,Fuels_Cement,Fuels_Flaring,Fuels_Bunkers,Fuels_Total
1850,EU27,14.7898400766559,0.0,0.0,0.0,0.0,0.0,14.7898400766559
1851,EU27,15.638,0.0,0.0,0.0,0.0,0.0,15.638
1852,EU27,17.545,0.0,0.0,0.0,0.0,0.0,17.545
1853,EU27,19.427,0.0,0.0,0.0,0.0,0.0,19.427
1854,EU27,22.467,0.0,0.0,0.0,0.0,0.0,22.467
1855,EU27,24.7775473292146,0.01,0.0,0.0,0.0,0.0,24.7875473292146
1856,EU27,26.298,0.011,0.0,0.0,0.0,0.0,26.309
1857,EU27,27.404,0.012,0.0,0.0,0.0,0.0,27.416
1858,EU27,28.8795771005993,0.014,0.0,0.0,0.0,0.0,28.8935771005993
1859,EU27,28.369795255689,0.0139986388859805,0.0,0.0,0.0,0.0,28.38379389457498
1860,EU27,30.7316146637732,0.0143986969152209,0.0,0.0,0.0,0.0,30.746013360688423
1861,EU27,33.7869606055095,0.0154077175271513,0.0,0.0,0.0,0.0,33.80236832303665
1862,EU27,36.5763395503751,0.0164054899813222,0.0,0.0,0.0,0.0,36.59274504035643
1863,EU27,38.0493760546561,0.0206399781699488,0.0,0.0,0.0,0.0,38.07001603282605
1864,EU27,41.1518843327212,0.0318633797729356,0.0,0.0,0.0,0.0,41.18374771249414
1865,EU27,44.6654922423542,0.0459573784232942,0.0,0.0,0.0,0.0,44.71144962077749
1866,EU27,45.8671407327654,0.074237900951816,0.0,0.0,0.0,0.0,45.941378633717214
1867,EU27,49.1516348648622,0.108751785268058,0.0,0.0,0.0,0.0,49.26038665013026
1868,EU27,51.5365868279167,0.142870431403753,0.0,0.0,0.0,0.0,51.67945725932045
1869,EU27,53.6994708803591,0.16192378618421,0.0,0.0,0.0,0.0,53.86139466654331
1870,EU27,53.8816819431889,0.19196196085241,0.0,0.0,0.0,0.0,54.07364390404131
1871,EU27,57.5160888312691,0.229581794149109,0.0,0.0,0.0,0.0,57.74567062541821
1872,EU27,63.9238264826793,0.238873914123523,0.0,0.0,0.0,0.0,64.16270039680282
1873,EU27,68.3956390348781,0.299622429697941,0.0,0.0,0.0,0.0,68.69526146457605
1874,EU27,59.7839522426672,0.320276400516346,0.0,0.0,0.0,0.0,60.104228643183546
1875,EU27,69.1908475258492,0.382210127569364,0.0,0.0,0.0,0.0,69.57305765341856
1876,EU27,72.2554255182872,0.437206185722823,0.0,0.0,0.0,0.0,72.69263170401003
1877,EU27,70.4452991269485,0.483660440162834,0.0,0.0,0.0,0.0,70.92895956711133
1878,EU27,72.7928727156985,0.490329988895193,0.0,0.0,0.0,0.0,73.28320270459369
1879,EU27,77.0610207305633,0.52043121152845,0.0,0.0,0.0,0.0,77.58145194209175
1880,EU27,89.2194554102257,0.534307606400877,0.0,0.0,0.0,0.0,89.75376301662658
1881,EU27,89.4197618382244,0.68252942478289,0.0,0.0,0.0,0.0,90.10229126300727
1882,EU27,94.5074878281479,0.731629772956755,0.0,0.0,0.0,0.0,95.23911760110464
1883,EU27,100.936506235316,0.769518623756934,0.0,0.0,0.0,0.0,101.70602485907294
1884,EU27,101.786054412475,0.927975790873592,0.0,0.0,0.0,0.0,102.7140302033486
1885,EU27,102.941961047225,1.03929932636073,0.0,0.0,0.0,0.0,103.98126037358574
1886,EU27,103.502771690669,0.965840579683812,0.0,0.0,0.0,0.0,104.4686122703528
1887,EU27,108.392315495582,1.04094143455238,0.0,0.0,0.0,0.0,109.43325693013438
1888,EU27,116.603734890606,1.12929685126989,0.0,0.0,0.0,0.0,117.73303174187588
1889,EU27,122.838455401297,1.22269237610896,0.0,0.0,0.0,0.0,124.06114777740596
1890,EU27,130.162456502665,1.29124132281476,0.0,0.0,0.0,0.0,131.45369782547976
1891,EU27,135.427368376461,1.39878003578184,0.0,0.0,0.0,0.0,136.82614841224284
1892,EU27,133.210263503984,1.51169651158617,0.0,0.0,0.0,0.0,134.72196001557018
1893,EU27,135.420906851003,1.56637764651205,0.0,0.0,0.0,0.0,136.98728449751505
1894,EU27,142.30081177456,1.58829465756078,0.0,0.0,0.0,0.0,143.88910643212077
1895,EU27,146.551979028934,1.73072474727692,0.0,0.0,0.0,0.0,148.28270377621092
1896,EU27,155.177946578445,1.83507038747075,0.0,0.0,0.0,0.0,157.01301696591574
1897,EU27,164.156971811495,1.93637366198766,0.0,0.0,0.0,0.0,166.09334547348266
1898,EU27,171.364091689717,2.07900192177399,0.0,0.0,0.0,0.0,173.44309361149098
1899,EU27,180.543691784001,2.13696405684144,0.0,0.0,0.0,0.0,182.68065584084243
1900,EU27,192.155400759612,2.20830295665551,0.0,0.0,0.0,0.0,194.3637037162675
1901,EU27,191.393983901103,2.29244485342332,0.0,0.0,0.0,0.0,193.68642875452636
1902,EU27,187.674714726635,2.40477625745002,0.001,0.0,0.0,0.0,190.080490984085
1903,EU27,200.18339914544,2.62166643565368,0.001,0.0,0.0,0.0,202.8060655810937
1904,EU27,203.79281596286,2.85472730366431,0.0010002263980077,0.0,0.0,0.0,206.64854349292236
1905,EU27,214.297973980244,2.88659232933609,0.001,0.0,0.0,0.0,217.18556630958008
1906,EU27,218.556570276512,3.1525888518408,0.003,0.0,0.0,0.0,221.7121591283528
1907,EU27,249.420003783318,3.71533773011213,0.003,0.0,0.0,0.0,253.1383415134301
1908,EU27,258.234981072421,4.29423309950809,0.003,0.0302105801061938,0.0,0.0,262.56242475203527
1909,EU27,255.854481508446,4.75900244390122,0.0039994298745724,0.0299372058078778,0.0,0.0,260.64742058802966
1910,EU27,260.994601830171,4.48466379208975,0.004,0.0350566495705215,0.0,0.0,265.5183222718313
1911,EU27,266.384183663462,4.50846174262158,0.004,0.0384712441643138,0.0,0.0,270.93511665024795
1912,EU27,285.851348550891,4.59842830202954,0.003,0.0461901918890045,0.0,0.0,290.49896704480955
1913,EU27,307.931354998382,4.82307091404852,0.015,0.0530577350826214,0.0,0.0,312.82248364751314
1914,EU27,264.256529268708,3.42568631129994,0.011,0.03784411536355,0.0,0.0,267.7310596953715
1915,EU27,242.581883731893,3.00288182242122,0.013,0.0416320494841469,0.0,0.0,245.6393976037984
1916,EU27,255.525280037173,2.59810470576845,0.0409995325646619,0.0472292862368326,0.0,0.0,258.2116135617429
1917,EU27,253.821657923403,2.19871793077291,0.029,0.0381782848416408,0.0,0.0,256.0875541390175
1918,EU27,239.010968496535,2.03789783042184,0.0320005792624059,0.0308899356385762,0.0,0.0,241.11175684185784
1919,EU27,184.869236501455,2.49512389907171,0.0899963201471941,0.0320587807727692,0.0,0.0,187.48641550144663
1920,EU27,232.038785506963,2.76515795531374,0.267007339889662,0.0382011340367239,0.0,0.0,235.10915193620312
1921,EU27,241.171266705803,2.55757239876838,0.270170884012572,0.0329587398433947,0.0,0.0,244.03196872842733
1922,EU27,246.878207388598,3.35236514943151,0.292159410340221,0.0498100212172041,0.0,0.0,250.57254196958692
1923,EU27,220.297798157248,4.08453753481975,0.29103697427598,0.0533966648096878,0.0,0.0,224.72676933115343
1924,EU27,267.490667802498,5.08646840885288,0.346035695687166,0.0553093328481049,0.0,0.0,272.9784812398861
1925,EU27,267.035363215499,8.64604203940023,0.387564610768076,0.0606693731946895,0.0,0.0,276.129639238862
1926,EU27,258.827259361534,7.62483960454492,0.387056852290676,0.0640879119947759,0.0,0.0,266.9032437303644
1927,EU27,292.786131060671,6.75760467271362,0.435215875551112,0.0675003304747507,0.0,0.0,300.0464519394105
1928,EU27,295.431902588738,7.83260336056564,0.47766161945345,3.34991178896599,0.0,0.0,307.0920793577231
1929,EU27,324.522998610057,8.62710470582779,0.578714490173812,3.53403661719914,0.0,0.0,337.2628544232577
1930,EU27,291.90421613507,10.4887491523916,0.8620472214377,3.34310831204764,0.0,0.0,306.598120820947
1931,EU27,260.905893049899,11.3827318038846,0.954065224993341,2.88637565924272,0.0,0.0,276.1290657380197
1932,EU27,228.240076352936,12.2001023563798,0.987097583269561,2.61533653714961,0.0,0.0,244.04261282973496
1933,EU27,234.062339485445,13.7913628885187,1.01465533439062,2.72541778690023,0.0,0.0,251.59377549525456
1934,EU27,250.482788990947,16.1772165416377,1.1826117720273,3.31172074054807,0.0,0.0,271.1543380451601
1935,EU27,261.214402206754,17.7173533161863,1.19325181854962,3.71976733596674,0.0,0.0,283.8447746774567
1936,EU27,271.947005570967,18.4686394234104,1.35351146235277,4.04707559680169,0.0,0.0,295.81623205353185
1937,EU27,308.918665978549,18.3436731377964,1.29156479421859,4.38684355892577,0.0,0.0,332.94074746948974
1938,EU27,312.003580706656,18.8072879854872,1.24399952161287,4.28378101844412,0.0,0.0,336.3386492322002
1939,EU27,325.117505075811,16.1447898219359,1.09514172501845,3.99937783111393,0.0,0.0,346.3568144538792
1940,EU27,343.519229398044,13.0248828347647,0.986058538693524,2.84206436655793,0.0,0.0,360.3722351380601
1941,EU27,342.308951823797,8.63634805160146,0.874971715355964,3.35525896221662,0.0,0.0,355.17553055297105
1942,EU27,348.142766689226,8.78321786896418,1.01099772647779,2.50514596796449,0.0,0.0,360.4421282526325
1943,EU27,351.280371672001,8.45789121193194,0.867993943622286,2.83869357563778,0.0,0.0,363.44495040319305
1944,EU27,302.333236220951,7.43472180727188,0.686071983909659,1.13949817759698,0.0,0.0,311.5935281897295
1945,EU27,124.725066140397,7.62629012228224,0.980243197182229,1.19959698221157,0.0,0.0,134.53119644207305
1946,EU27,216.142196643536,11.6652105434192,1.04914342979699,2.49949204499819,0.0,0.0,231.3560426617504
1947,EU27,245.457344147508,20.5770023827835,1.08606680491099,3.29135858655711,0.0,0.0,270.4117719217596
1948,EU27,265.780865418011,26.8769629689426,1.90889831343722,4.40969890915038,0.0,0.0,298.97642560954125
1949,EU27,292.521446105291,29.6711434295923,3.12188485496525,5.25362162189441,0.0,0.0,330.5680960117429
1950,EU27,307.446411302515,32.3442980784967,2.76245845735666,6.16749666384182,0.0,6.81103,355.5316945022102
1951,EU27,340.866615895719,39.1095005123774,3.2692937654166,6.95784333496427,0.0,8.08003,398.28328350847727
1952,EU27,350.913855561652,43.4539713690432,3.90392237473919,7.50151381538928,0.0,8.40029,414.1735531208236
1953,EU27,351.855138514931,48.1209369124353,5.0002990469293,8.48861406351015,0.0,8.11445,421.57943853780574
1954,EU27,367.618249135303,57.533924236844,5.61518963343507,8.99587720644087,0.0,9.10158,448.86482021202295
1955,EU27,391.193286240368,67.9995085779002,6.46855172114464,10.1246649162283,0.0,10.467,486.2530114556412
1956,EU27,412.402959572378,79.0591017402653,7.43386563572921,10.6561301317805,0.0,11.62142,521.173477080153
1957,EU27,420.213107063531,85.5551335912964,8.77517456745689,11.1841692331133,0.0,11.54013,537.2677144553976
1958,EU27,404.65485003984,95.2628212260607,9.88374514284854,11.6997188020422,0.0,11.47983,532.9809652107914
1959,EU27,400.208493713843,104.523222499408,11.7277367464212,13.1520169343036,0.0,11.68739,541.2988598939758
1960,EU27,422.577912296131,122.406485313877,13.7655126671781,14.222508517754,0.0,13.9532972023484,586.9257159972885
1961,EU27,431.774058145435,137.425484195062,15.4526818276077,15.5076331721881,0.0,16.4941063674155,616.6539637077083
1962,EU27,446.004614219049,162.453664115766,17.3348275921488,16.5572570766694,0.0869936906229603,17.6974658339787,660.1348225282351
1963,EU27,461.950865893863,187.734234874023,18.4321439996478,17.4010574812528,0.123008014595686,18.8047024606757,704.446012724058
1964,EU27,463.057490958547,218.2918183325,20.3473976507343,19.6103602019345,0.144991479609825,21.0806010255088,742.5326596488345
1965,EU27,444.933072886526,242.666869838029,22.5227389334039,20.173294808886,0.111,23.330270579806,753.737247046651
1966,EU27,432.038092855194,273.567350347245,25.6347123000251,21.3545704086213,0.06,25.1620013659886,777.8167272770738
1967,EU27,422.426041824423,294.449974598917,30.2329090109508,22.2881559414896,0.0719955123410621,25.9032320049817,795.3723088931031
1968,EU27,427.645636203729,328.104957951685,37.252791064031,23.6873154943183,0.0600035979851283,28.6558552015571,845.4065595133055
1969,EU27,440.035496019236,361.96478059058,43.8783914574841,24.9929842030805,0.094,32.5779032205928,903.5435554909734
1970,EU27,417.255051430304,411.205986425733,53.9922226551006,26.4837478628031,0.0919993541219935,33.0925207020836,942.121528430146
1971,EU27,405.048616440495,436.176412322284,64.3568667875523,27.2557122013504,1.81075941977208,35.0960135223553,969.7443806938091
1972,EU27,394.050521590385,469.81069508326,75.9010738109148,28.6824689165909,1.74110279388354,39.132371672083,1009.3182338671172
1973,EU27,397.385824515766,502.181365457139,86.4541759237329,29.7032282474256,1.72172203728304,39.9827573534953,1057.4290735348418
1974,EU27,402.929158449643,480.384079983567,97.6529632520193,29.5212223778683,1.70646695209263,34.8746624871384,1047.0685535023288
1975,EU27,391.822029786202,464.450093003003,105.539396984778,28.9378383548893,1.6055549853727,34.1088098209311,1026.463722935176
1976,EU27,414.381182033378,506.238954664493,115.149957332265,30.1393211837397,1.69711675971145,35.468766567743,1103.07529854133
1977,EU27,408.078733862971,499.00985713472,117.233019246048,30.9722825196426,1.79427216912477,35.3316568624331,1092.4198217949397
1978,EU27,416.342255584585,519.489534318914,123.358104241956,31.7395275724092,1.77370387958122,35.8641674976649,1128.5672930951107
1979,EU27,433.219010857757,526.807261977995,129.691306663749,31.5181796652505,1.34488692548038,35.504967066362,1158.0856131565938
1980,EU27,446.516606626989,502.35663297026,131.650984659036,31.2426263100386,1.08813699145199,33.1378906716134,1145.992878229389
1981,EU27,435.541729722137,456.840508079529,131.294930455471,29.8978484107577,0.841239714580455,32.6091109087754,1087.0253672912506
1982,EU27,440.683675343631,434.423872216693,124.613521388172,29.1107162781733,0.483437678725655,31.3802821113435,1060.6955050167387
1983,EU27,441.392301145337,418.845718991743,128.379421744267,28.7643463157974,0.218083942571673,29.9098981277398,1047.509770267456
1984,EU27,459.955132116286,408.210840000587,131.606220431537,27.1684235320685,0.241072496321591,29.6940993414915,1056.8757879182915
1985,EU27,473.888436127941,408.688596883965,134.1975942191,25.6902950107125,0.270049037826978,32.3399783323834,1075.074949611929
1986,EU27,465.817053540094,416.843238653942,129.593362657477,25.9571679681914,0.342956195799849,36.4132038525176,1074.966982868022
1987,EU27,467.493536079078,418.523139862112,135.487762996905,25.7759058980107,0.655230720175432,37.9775135567078,1085.913089112989
1988,EU27,457.863386022753,415.704420665666,135.645672421022,26.5730698732146,0.756317202293588,40.097691108215,1076.6405572931642
1989,EU27,454.767635322704,414.481582757973,149.717300709067,27.1042050956477,0.609719751826798,40.6049403638316,1087.2853840010505
1990,EU27,447.356075121222,405.580511283137,157.622479929542,25.9925165836767,6.31892808997506,42.1603971617661,1085.0309081693188
1991,EU27,422.259962762706,412.174555527365,162.139538389369,24.1028845591811,5.85178059433327,41.4334142973217,1067.962136130276
