country_or_region,year,variable,generation_twh
Europe,2000,Bioenergy,34.7
Europe,2000,Clean,2004.46
Europe,2000,Coal,1210.3
Europe,2000,Fossil,2428.06
Europe,2000,Gas,926.64
Europe,2000,Hydro,768.78
Europe,2000,Nuclear,1171.26
Europe,2000,Other Fossil,291.12
Europe,2000,Other Renewables,7.38
Europe,2000,Solar,0.06
Europe,2000,Wind,22.28
Europe,2000,Wind and solar,22.34
Europe,2001,Bioenergy,37.17
Europe,2001,Clean,2055.8
Europe,2001,Coal,1211.77
Europe,2001,Fossil,2454.13
Europe,2001,Gas,952.39
Europe,2001,Hydro,776.91
Europe,2001,Nuclear,1207.33
Europe,2001,Other Fossil,289.97
Europe,2001,Other Renewables,7.4
Europe,2001,Solar,0.18
Europe,2001,Wind,26.81
Europe,2001,Wind and solar,26.99
Europe,2002,Bioenergy,42.63
Europe,2002,Clean,2032.08
Europe,2002,Coal,1223
Europe,2002,Fossil,2519.51
Europe,2002,Gas,997.81
Europe,2002,Hydro,715.49
Europe,2002,Nuclear,1229.55
Europe,2002,Other Fossil,298.7
Europe,2002,Other Renewables,7.65
Europe,2002,Solar,0.29
Europe,2002,Wind,36.47
Europe,2002,Wind and solar,36.76
Europe,2003,Bioenergy,50.3
Europe,2003,Clean,2026.87
Europe,2003,Coal,1277.23
Europe,2003,Fossil,2633.59
Europe,2003,Gas,1074.68
Europe,2003,Hydro,676.84
Europe,2003,Nuclear,1245.94
Europe,2003,Other Fossil,281.68
Europe,2003,Other Renewables,8.46
Europe,2003,Solar,0.42
Europe,2003,Wind,44.91
Europe,2003,Wind and solar,45.33
Europe,2004,Bioenergy,61.2
Europe,2004,Clean,2126.85
Europe,2004,Coal,1239.99
Europe,2004,Fossil,2637.71
Europe,2004,Gas,1143.14
Europe,2004,Hydro,736.49
Europe,2004,Nuclear,1259.91
Europe,2004,Other Fossil,254.58
Europe,2004,Other Renewables,8.72
Europe,2004,Solar,0.7
Europe,2004,Wind,59.83
Europe,2004,Wind and solar,60.53
Europe,2005,Bioenergy,71.1
Europe,2005,Clean,2139.13
Europe,2005,Coal,1230.81
Europe,2005,Fossil,2701.32
Europe,2005,Gas,1216.49
Europe,2005,Hydro,738.63
Europe,2005,Nuclear,1247.44
Europe,2005,Other Fossil,254.02
Europe,2005,Other Renewables,8.84
Europe,2005,Solar,1.51
Europe,2005,Wind,71.61
Europe,2005,Wind and solar,73.12
Europe,2006,Bioenergy,80.3
Europe,2006,Clean,2158.23
Europe,2006,Coal,1286.47
Europe,2006,Fossil,2782.08
Europe,2006,Gas,1247
Europe,2006,Hydro,728.87
Europe,2006,Nuclear,1252.58
Europe,2006,Other Fossil,248.61
Europe,2006,Other Renewables,10.17
Europe,2006,Solar,2.55
Europe,2006,Wind,83.76
Europe,2006,Wind and solar,86.31
Europe,2007,Bioenergy,89.26
Europe,2007,Clean,2148.67
Europe,2007,Coal,1291.23
Europe,2007,Fossil,2860.06
Europe,2007,Gas,1345.06
Europe,2007,Hydro,733.92
Europe,2007,Nuclear,1203.72
Europe,2007,Other Fossil,223.77
Europe,2007,Other Renewables,11.36
Europe,2007,Solar,3.87
Europe,2007,Wind,106.54
Europe,2007,Wind and solar,110.41
Europe,2008,Bioenergy,99.35
Europe,2008,Clean,2198.01
Europe,2008,Coal,1241.91
Europe,2008,Fossil,2861
Europe,2008,Gas,1405.27
Europe,2008,Hydro,750.3
Europe,2008,Nuclear,1206.82
Europe,2008,Other Fossil,213.82
Europe,2008,Other Renewables,11.78
Europe,2008,Solar,7.57
Europe,2008,Wind,122.19
Europe,2008,Wind and solar,129.76
Europe,2009,Bioenergy,109.46
Europe,2009,Clean,2186.67
Europe,2009,Coal,1127.77
Europe,2009,Fossil,2630.33
Europe,2009,Gas,1308.63
Europe,2009,Hydro,756.79
Europe,2009,Nuclear,1157.41
Europe,2009,Other Fossil,193.93
Europe,2009,Other Renewables,12.32
Europe,2009,Solar,14.29
Europe,2009,Wind,136.4
Europe,2009,Wind and solar,150.69
Europe,2010,Bioenergy,125.54
Europe,2010,Clean,2313.57
Europe,2010,Coal,1133.27
Europe,2010,Fossil,2721.25
Europe,2010,Gas,1405.1
Europe,2010,Hydro,806.51
Europe,2010,Nuclear,1191.51
Europe,2010,Other Fossil,182.88
Europe,2010,Other Renewables,12.41
Europe,2010,Solar,23.6
Europe,2010,Wind,154
Europe,2010,Wind and solar,177.6
Europe,2011,Bioenergy,134.15
Europe,2011,Clean,2298.01
