iso,Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
EUU,European Union (27),MtCO2e,642.64,651.03,668.95,674.03,678.65,687.29,710.05,721.31,750.53,768.33,768.26,782.75,790.80,804.98,824.60,822.89,834.73,843.30,826.60,800.08,793.70,787.93,757.65,750.60,757.45,772.03,791.11,805.84,805.10,811.54,699.72,765.02
AUT,Austria,MtCO2e,13.63,15.05,15.08,15.23,15.29,15.51,17.13,16.20,18.30,17.82,18.56,20.05,21.94,23.52,23.85,24.55,23.40,23.59,22.55,21.72,22.53,21.72,21.66,23.12,22.66,23.17,23.99,24.55,24.80,24.83,21.67,22.33
BEL,Belgium,MtCO2e,20.21,20.39,21.20,21.73,22.31,22.46,22.90,23.24,23.97,24.19,24.48,25.30,25.24,25.88,26.97,26.19,26.60,27.43,27.50,26.69,25.87,25.47,24.71,24.22,24.45,26.09,25.79,25.20,25.28,24.96,20.76,22.92
BIH,Bosnia and Herzegovina,MtCO2e,2.19,1.86,1.06,0.85,0.97,0.99,1.03,1.06,1.40,1.34,2.09,2.13,2.04,2.06,2.39,2.30,2.88,3.05,3.38,3.49,3.40,3.41,3.19,2.82,2.98,3.11,3.62,3.78,3.75,4.01,3.64,4.18
BGR,Bulgaria,MtCO2e,6.44,3.48,3.81,4.31,3.94,4.19,4.14,4.28,5.42,5.65,5.43,5.60,5.83,6.42,6.95,7.76,8.19,7.92,8.31,7.98,7.76,7.94,8.21,7.27,8.13,8.93,9.04,9.19,9.40,9.51,8.94,9.62
HRV,Croatia,MtCO2e,3.57,2.85,2.69,2.83,3.02,3.21,3.60,3.80,3.94,4.23,4.32,4.38,4.68,5.08,5.22,5.43,5.78,6.21,6.15,6.11,5.87,5.76,5.55,5.63,5.58,5.89,6.10,6.57,6.34,6.51,5.71,6.16
CYP,Cyprus,MtCO2e,1.17,1.16,1.31,1.33,1.38,1.47,1.52,1.58,1.66,1.70,1.74,1.80,1.78,1.89,1.99,2.03,2.01,2.15,2.19,2.19,2.24,2.17,2.00,1.80,1.75,1.82,1.93,2.00,2.02,2.04,1.77,1.90
CZE,Czech Republic,MtCO2e,6.95,6.17,7.92,7.96,8.54,7.25,10.08,10.39,10.67,11.76,11.87,12.75,13.29,15.12,15.85,17.15,17.45,18.41,18.26,17.63,16.60,16.47,16.14,16.00,16.51,17.32,18.00,18.54,18.67,18.89,17.59,18.83
DNK,Denmark,MtCO2e,10.19,10.75,10.81,10.97,11.39,11.60,11.72,11.90,11.93,11.96,11.93,12.03,12.18,12.66,12.95,13.17,13.46,14.02,13.87,13.14,12.99,12.64,11.59,11.38,11.47,12.00,12.16,12.14,12.31,12.04,11.05,11.20
FIN,Finland,MtCO2e,11.72,11.40,11.35,11.12,11.56,11.36,11.09,11.70,11.86,12.16,11.75,11.89,12.07,12.27,12.60,12.63,12.81,13.15,12.53,11.96,12.47,12.29,11.99,11.83,10.71,10.70,11.91,11.31,11.51,11.11,10.32,9.87
FRA,France,MtCO2e,113.23,116.85,119.36,120.48,121.38,122.32,122.12,124.64,129.12,129.52,132.48,134.22,134.14,132.82,133.06,130.80,131.12,130.29,124.32,122.93,123.27,128.16,127.09,126.07,126.22,127.43,127.97,128.54,125.65,125.36,106.00,118.91
