iso,Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
EUU,European Union (27),MtCO2e,3859.45,3797.07,3672.91,3604.71,3586.25,3632.77,3717.89,3651.64,3642.75,3587.78,3599.51,3657.17,3658.26,3742.69,3754.57,3736.02,3746.18,3710.41,3626.71,3333.45,3435.00,3334.59,3261.84,3181.55,3045.23,3096.96,3102.22,3124.55,3051.32,2909.86,2633.52,2809.07
AUT,Austria,MtCO2e,62.05,65.65,60.16,60.59,60.97,63.95,67.30,67.18,66.82,65.57,66.07,70.07,71.87,77.30,77.60,78.99,76.70,74.00,73.36,67.19,71.90,69.78,67.15,67.65,64.04,66.22,67.07,69.46,66.42,67.80,61.97,65.87
BEL,Belgium,MtCO2e,119.81,122.88,122.00,120.93,124.43,125.58,129.13,123.63,129.89,124.35,126.35,125.69,126.27,127.63,128.10,124.91,123.10,119.56,119.31,106.99,113.75,104.36,101.71,102.22,96.62,100.66,99.17,98.57,99.49,99.00,90.65,95.21
BGR,Bulgaria,MtCO2e,76.54,61.39,57.24,58.30,56.30,57.85,58.40,55.74,53.04,46.25,45.31,48.84,46.02,50.39,49.41,50.50,51.74,55.61,53.94,45.68,47.75,53.07,48.21,42.49,45.10,48.06,45.26,47.36,43.41,42.16,36.35,42.22
HRV,Croatia,MtCO2e,22.92,16.93,16.30,16.75,16.00,16.77,17.29,18.49,18.96,19.97,19.59,20.68,21.80,23.14,22.81,23.25,23.47,24.77,23.50,21.73,20.93,20.54,18.98,18.36,17.61,17.76,18.03,18.66,17.65,17.78,16.78,17.31
CYP,Cyprus,MtCO2e,4.64,5.13,5.50,5.75,5.99,5.86,6.21,6.30,6.59,6.86,7.10,6.98,7.17,7.56,7.79,7.96,8.18,8.50,8.72,8.47,8.10,7.79,7.26,6.58,6.95,6.97,7.37,7.50,7.32,7.34,6.91,7.03
CZE,Czech Republic,MtCO2e,162.89,148.40,145.46,139.89,132.42,131.34,134.74,130.72,125.31,116.43,126.95,126.81,123.64,127.21,127.92,125.37,126.18,128.01,122.58,114.71,117.16,114.82,110.88,106.30,103.87,104.49,106.12,107.28,105.90,100.58,91.27,96.25
DNK,Denmark,MtCO2e,54.13,64.83,59.14,61.28,65.27,62.17,75.62,66.10,62.15,59.58,55.35,57.12,56.66,61.84,56.35,52.73,60.72,55.95,52.42,50.00,50.54,45.50,41.04,42.84,38.65,36.23,37.99,35.91,35.93,32.38,29.69,31.01
FIN,Finland,MtCO2e,56.27,54.73,53.97,55.84,61.26,57.71,63.56,62.20,58.90,58.41,56.66,62.09,64.59,72.35,68.66,56.76,68.05,66.48,58.29,55.57,63.80,56.44,50.94,51.40,47.37,44.02,46.99,44.47,45.53,42.26,37.53,37.75
FRA,France,MtCO2e,395.06,420.03,410.47,391.59,385.05,390.40,407.16,400.16,419.23,418.12,412.59,417.75,413.62,419.88,421.71,424.70,415.07,405.53,398.76,380.72,386.98,364.48,366.91,369.15,338.09,342.97,346.27,349.14,334.59,327.88,292.49,317.25
