iso,Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
EUU,European Union (27),MtCO2e,3480.66,3449.06,3327.82,3269.67,3253.66,3301.34,3404.12,3333.21,3322.47,3263.09,3270.77,3330.04,3322.74,3411.34,3411.51,3393.97,3399.75,3353.63,3282.31,3052.66,3138.85,3045.70,2989.77,2916.72,2769.18,2827.14,2837.25,2859.85,2794.32,2656.21,2394.62
AUT,Austria,MtCO2e,56.24,60.42,55.56,55.77,56.19,59.56,63.27,62.46,63.07,61.45,61.83,66.19,67.64,72.71,74.01,74.45,72.15,69.12,68.60,62.62,68.34,66.61,63.44,64.10,60.42,61.55,61.97,64.16,61.30,62.73,57.32
BEL,Belgium,MtCO2e,106.49,111.08,109.24,107.03,111.72,111.31,116.44,113.47,116.24,112.40,114.00,115.38,107.86,112.57,110.51,108.03,104.97,100.82,103.68,97.11,104.29,93.73,92.63,94.01,87.72,92.75,91.74,90.30,90.99,90.17,82.73
BGR,Bulgaria,MtCO2e,71.46,57.56,54.27,54.77,52.28,52.89,53.34,51.42,49.36,43.22,42.21,44.96,42.38,46.66,45.82,46.37,47.40,50.62,48.14,41.92,43.93,48.85,44.04,38.77,41.14,43.45,40.39,42.65,39.67,38.02,33.07
HRV,Croatia,MtCO2e,20.34,14.74,14.20,14.85,14.03,14.83,14.57,16.27,17.67,17.38,16.78,17.75,18.85,20.18,19.58,19.90,19.96,21.21,20.16,19.06,18.25,17.95,16.37,15.87,15.01,15.43,15.80,16.12,15.22,15.34,14.41
CYP,Cyprus,MtCO2e,3.92,4.48,4.79,4.99,5.19,5.10,5.40,5.52,5.87,6.13,6.36,6.25,6.40,7.08,6.97,7.11,7.18,7.49,7.67,7.60,7.34,7.09,6.59,5.68,5.84,5.97,6.34,6.44,6.35,6.40,5.89
CZE,Czech Republic,MtCO2e,153.15,139.76,134.37,128.79,122.99,122.51,126.37,123.92,117.70,110.40,122.78,122.71,118.81,121.89,122.16,120.27,120.81,122.39,116.72,111.68,112.70,109.56,105.80,101.58,98.48,99.61,101.30,101.82,100.87,95.74,86.94
DNK,Denmark,MtCO2e,51.20,61.71,55.84,58.16,62.00,58.80,72.06,62.31,58.32,55.37,51.22,52.86,52.42,57.90,52.27,48.84,56.74,52.00,48.97,47.17,47.45,42.24,37.35,39.09,34.93,32.77,34.25,31.99,31.97,28.57,26.13
FIN,Finland,MtCO2e,53.83,54.56,51.81,53.10,59.56,55.71,62.19,60.17,56.82,56.03,54.59,60.58,62.95,71.24,67.15,54.92,66.45,64.50,56.04,53.80,62.00,54.57,48.91,49.71,45.69,42.35,45.15,42.41,43.79,40.40,35.76
FRA,France,MtCO2e,345.36,370.30,359.31,340.93,335.70,343.65,359.52,351.03,372.50,366.62,364.67,368.21,362.52,368.28,368.88,371.71,362.43,353.57,349.33,336.20,340.05,326.97,330.81,331.15,299.04,304.57,307.20,311.24,300.25,293.75,260.96
