iso,Country/Region,unit,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
EUU,European Union (27),MtCO2e,58.59,62.32,69.84,77.27,89.50,98.40,104.50,109.00,115.40,113.20,122.30,134.80,146.00,151.20,163.20,177.50,181.80,195.10,204.30,213.10,214.70,229.30,255.20,273.00,238.50,276.50,289.60,281.90,291.40,308.30,359.20,358.10,379.60,405.40,409.00,414.90,417.00,436.40,469.90,495.00,525.00,546.40,537.70,546.80,575.40,592.20,626.60,664.10,693.20,731.60,777.50,774.50,760.80,811.50,828.00,870.00,889.00,1017.00,1058.00,1046.00,1069.00,1088.00,1164.00,1257.00,1081.00,991.00,1036.00,1013.00,957.90,756.90,940.00,973.00,1006.00,909.00,1099.00,1111.00,1073.00,1223.00,1236.00,1352.00,1238.00,1112.00,984.00,1015.00,1096.00,1148.00,1197.00,1349.00,1354.00,1400.00,1432.00,1412.00,1437.00,1448.00,1236.00,529.30,925.00,1090.00,1217.00,1328.00,1409.00,1582.00,1639.00,1662.00,1774.00,1913.00,2050.00,2107.00,2093.00,2121.00,2268.00,2362.00,2520.00,2722.00,2848.00,2889.00,2943.00,3009.00,3183.00,3390.00,3517.00,3590.00,3736.00,3927.00,3899.00,3784.00,4076.00,4016.00,4147.00,4289.00,4223.00,3996.00,3884.00,3835.00,3889.00,3933.00,3917.00,3944.00,3937.00,3974.00,3860.00,3793.00,3668.00,3602.00,3587.00,3635.00,3717.00,3654.00,3643.00,3585.00,3599.00,3659.00,3659.00,3747.00,3759.00,3736.00,3742.00,3706.00,3627.00,3333.00,3435.00,3335.00,3261.00,3179.00,3044.00,3093.00,3104.00,3123.00,3050.00,2914.00,2637.00,2812.00,2787.00
AUT,Austria,MtCO2e,2.89,2.89,3.49,4.00,3.94,4.59,5.25,6.04,8.98,7.27,7.63,7.91,7.88,7.28,6.29,6.63,4.45,6.09,7.53,8.02,9.11,12.54,12.37,13.24,11.29,9.67,9.95,8.95,8.90,10.93,29.28,12.67,13.06,14.49,14.09,14.84,13.97,15.12,14.73,15.86,16.12,18.42,17.78,21.85,22.38,25.19,26.40,28.46,30.25,30.73,34.36,35.13,31.82,31.82,33.73,35.50,42.40,52.90,74.50,54.20,72.80,60.90,64.10,75.60,61.60,43.82,11.27,4.28,4.14,3.74,17.95,23.93,22.93,22.01,24.79,23.41,22.99,24.78,26.17,29.90,23.24,22.24,18.72,17.47,16.91,17.07,16.68,18.77,7.24,7.89,8.95,9.57,10.08,11.25,10.75,5.32,15.25,21.24,29.67,32.33,25.53,28.32,26.77,26.21,29.47,34.41,33.76,35.00,33.41,32.98,36.18,37.22,39.39,42.97,44.95,44.01,45.03,45.41,47.77,50.11,56.35,57.85,62.10,66.10,63.90,60.18,64.80,62.50,64.00,68.60,59.10,62.70,59.90,58.40,61.70,61.30,60.30,64.10,60.30,61.10,62.00,65.60,60.10,60.50,61.00,64.00,67.30,67.20,66.80,65.60,66.10,70.00,71.80,77.30,77.60,79.00,76.80,74.00,73.40,67.20,71.90,69.80,67.10,67.60,64.10,66.20,67.00,69.40,66.40,67.80,62.00,65.80,62.70
BEL,Belgium,MtCO2e,10.08,11.00,12.35,12.69,14.13,14.47,14.25,14.91,15.58,16.13,16.47,17.81,17.69,18.59,19.58,20.59,22.15,24.04,21.70,23.37,26.71,25.60,27.71,30.38,28.04,29.15,28.49,27.05,29.49,29.94,32.94,33.16,35.06,37.17,36.61,35.73,34.72,36.73,38.95,39.84,43.07,40.84,40.74,38.96,43.07,43.40,45.74,47.30,48.74,50.97,53.65,50.52,52.86,56.87,54.42,54.31,62.11,63.10,62.54,62.44,66.22,66.67,70.00,73.47,43.85,37.17,49.52,39.18,36.50,48.52,59.65,54.64,60.38,77.61,82.38,84.27,83.93,97.74,96.50,105.90,102.30,91.70,73.89,79.09,81.55,78.09,81.70,98.60,86.50,80.70,67.20,70.70,66.24,62.75,36.06,42.65,63.28,92.40,97.10,93.20,89.10,105.80,99.50,99.20,104.10,112.50,119.30,119.60,108.70,110.50,114.50,117.30,124.30,133.90,131.70,133.70,133.30,136.30,147.90,153.20,153.30,148.10,159.80,165.80,162.10,144.10,151.00,144.40,153.20,158.40,152.10,140.70,130.80,113.90,119.10,117.00,113.70,113.70,113.20,119.20,120.20,122.50,122.10,121.20,124.90,125.70,128.90,123.20,130.00,124.80,125.90,125.80,126.00,127.30,127.90,124.80,122.70,119.40,119.30,107.00,113.80,104.40,101.70,102.20,96.60,100.60,99.20,98.60,99.50,99.00,90.70,95.30,91.00
BGR,Bulgaria,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.02,0.03,0.04,0.04,0.05,0.07,0.09,0.09,0.12,0.12,0.16,0.16,0.24,0.30,0.26,0.26,0.33,0.40,0.35,0.50,0.66,0.67,0.70,1.00,1.00,0.87,1.31,0.84,1.02,1.26,1.58,0.93,1.21,1.52,1.67,1.78,2.04,2.00,1.98,2.02,2.39,2.79,2.70,2.54,2.96,2.62,2.74,2.76,2.81,3.12,3.55,3.89,4.55,4.90,5.94,6.44,4.89,5.83,5.53,6.58,7.01,8.33,8.46,9.23,10.65,11.96,12.92,13.67,14.67,16.25,17.74,22.29,25.26,29.43,34.84,38.96,48.42,52.24,55.00,61.90,66.50,73.50,68.50,71.00,73.20,75.30,77.00,79.00,79.40,81.70,86.10,84.20,82.10,84.80,93.60,93.50,91.30,93.10,94.20,93.69,89.50,88.00,76.57,61.41,57.22,58.32,56.29,57.88,58.40,55.75,53.05,46.28,45.36,48.79,46.00,50.41,49.45,50.49,51.79,55.61,53.98,45.64,47.80,53.02,48.21,42.45,45.08,48.01,45.30,47.39,43.46,42.20,36.32,42.20,46.53
HRV,Croatia,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.02,0.02,0.01,0.02,0.02,0.03,0.03,0.03,0.04,0.04,0.04,0.05,0.05,0.05,0.06,0.05,0.06,0.06,0.17,0.06,0.06,0.05,0.05,0.04,0.12,0.16,0.17,0.31,0.33,0.34,0.39,0.39,0.59,0.86,0.54,0.57,0.85,0.73,0.69,0.71,0.77,0.72,0.77,0.79,0.79,0.41,0.13,0.08,0.06,0.03,0.33,0.84,1.36,1.47,1.66,1.69,1.61,1.62,1.72,2.00,2.27,2.54,2.91,2.92,3.38,3.78,3.94,4.17,4.75,5.48,6.10,6.48,7.30,8.31,8.98,11.28,11.61,11.03,15.08,15.07,15.17,15.58,15.51,18.09,20.24,20.13,18.14,17.62,17.84,18.24,18.34,19.97,19.87,20.68,20.23,22.96,16.92,16.26,16.74,16.02,16.75,17.25,18.51,18.92,19.97,19.64,20.72,21.79,23.12,22.84,23.30,23.43,24.80,23.49,21.69,20.92,20.55,18.96,18.37,17.59,17.76,18.02,18.67,17.66,17.82,16.79,17.33,17.61
CYP,Cyprus,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.27,0.29,0.33,0.38,0.46,0.47,0.70,0.85,0.80,0.87,0.93,0.90,0.94,1.03,1.04,1.20,1.29,1.42,1.69,1.74,1.78,1.97,2.51,2.61,2.01,2.09,2.61,2.83,2.99,3.19,3.42,3.25,3.31,3.30,3.38,3.29,3.78,4.37,4.39,4.64,4.64,5.13,5.50,5.75,5.99,5.86,6.21,6.30,6.59,6.86,7.11,6.98,7.17,7.56,7.79,7.95,8.19,8.50,8.71,8.47,8.10,7.79,7.26,6.58,6.95,6.97,7.37,7.50,7.32,7.34,6.91,7.03,7.45
CZE,Czech Republic,MtCO2e,false,false,false,false,false,false,false,false,false,false,0.23,0.74,1.26,1.78,2.30,2.82,3.34,3.86,4.38,4.91,5.42,5.94,6.46,6.98,7.50,8.02,13.85,14.57,15.28,16.37,17.43,18.39,18.76,20.07,20.78,21.74,22.93,24.02,25.80,27.24,29.15,30.23,30.71,31.42,32.15,33.35,34.19,36.22,37.05,38.01,37.77,39.45,39.94,40.77,41.14,42.34,44.25,46.53,47.37,47.03,46.55,47.14,50.13,52.51,47.84,47.72,50.82,47.72,40.66,38.49,38.13,36.58,32.64,34.54,42.42,39.90,40.39,43.37,45.64,51.12,44.99,42.12,36.69,33.58,33.48,34.55,37.47,45.35,51.96,57.08,64.20,64.70,69.70,77.00,73.30,38.79,48.07,54.47,58.62,61.38,62.63,66.46,70.80,73.10,77.70,80.40,85.90,89.00,96.70,96.20,102.20,110.30,117.10,123.00,127.10,123.50,122.20,120.70,125.70,132.80,150.10,156.80,158.40,158.80,159.40,166.10,172.60,177.10,179.40,174.00,175.30,174.70,172.30,173.50,178.30,174.40,174.80,172.80,169.90,161.40,162.80,148.80,145.40,139.40,132.50,131.80,134.50,130.30,125.30,116.70,127.00,127.20,123.90,126.90,127.60,125.30,126.30,127.80,122.50,115.00,116.70,114.80,110.80,106.30,103.90,104.50,106.10,107.30,105.90,100.50,91.30,96.20,97.30
DNK,Denmark,MtCO2e,0.37,0.34,0.36,0.39,0.50,0.49,0.70,0.72,0.53,0.68,0.59,0.85,0.73,0.82,0.70,1.10,1.02,0.99,1.18,1.03,1.24,1.29,1.23,1.25,1.34,1.58,1.67,1.65,1.57,1.77,2.01,2.14,2.29,2.63,2.62,2.74,2.63,2.70,3.03,3.24,3.10,3.33,3.43,3.24,3.68,3.82,4.66,5.01,5.20,5.68,5.57,5.80,5.95,6.19,6.69,6.51,7.08,6.31,7.84,8.66,7.96,8.47,10.05,10.27,10.57,11.28,11.08,8.05,9.39,8.91,7.79,7.35,10.47,11.38,13.39,11.58,11.28,14.80,13.59,16.32,14.90,15.47,14.51,14.48,15.80,16.50,17.02,17.57,15.84,17.58,16.04,18.85,17.85,22.28,21.88,15.22,19.09,23.19,18.43,18.26,23.89,23.84,24.87,25.19,27.79,29.52,28.77,27.14,29.31,28.46,32.42,34.70,40.25,44.42,47.02,48.27,54.65,53.50,58.27,64.67,67.65,62.30,65.07,64.67,60.27,60.93,65.30,67.67,66.57,68.83,66.07,56.80,58.76,54.89,55.78,65.61,64.34,63.76,60.76,53.91,54.17,64.88,59.14,61.25,65.23,62.19,75.60,66.09,62.17,59.55,55.37,57.16,56.67,61.84,56.36,52.70,60.72,55.92,52.42,49.96,50.51,45.49,41.08,42.89,38.61,36.23,38.00,35.91,35.96,32.41,29.72,31.04,30.42
EST,Estonia,MtCO2e,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.02,0.02,0.05,0.06,0.05,0.07,0.07,0.10,0.10,0.10,0.12,0.13,0.16,0.16,0.21,0.21,0.25,0.25,0.27,0.30,0.29,0.31,0.32,0.32,0.33,0.36,0.40,0.43,0.46,0.54,0.56,0.61,0.63,0.73,0.82,0.97,1.09,1.09,1.06,1.07,1.21,1.14,1.30,1.47,1.48,1.56,1.51,1.60,1.85,2.05,1.81,1.60,1.70,1.58,0.62,0.48,0.44,0.50,0.60,0.66,0.82,0.79,1.21,1.52,1.71,1.80,2.25,2.69,3.19,3.67,4.49,5.16,5.97,6.08,6.41,6.50,7.99,6.90,4.44,6.14,5.28,6.29,7.04,8.47,8.94,10.15,11.27,12.17,12.98,13.59,14.81,16.72,18.04,19.46,20.28,20.90,21.23,21.15,21.48,22.50,23.32,24.35,25.29,25.90,25.91,26.63,28.36,29.29,30.43,31.16,31.69,32.94,33.87,34.59,35.00,35.20,36.81,34.43,34.93,34.88,34.69,38.41,39.27,38.59,39.01,37.41,36.86,34.16,24.45,19.43,20.07,18.10,19.01,18.65,16.89,15.92,15.51,15.82,15.35,17.29,17.31,17.09,16.41,19.98,17.81,14.41,18.96,18.97,17.81,19.68,18.79,15.79,17.46,18.70,17.89,12.29,9.22,10.40,10.68
FIN,Finland,MtCO2e,false,false,false,false,false,false,false,false,false,false,0.05,0.11,0.11,0.11,0.07,0.09,0.10,0.09,0.13,0.10,0.13,0.16,0.13,0.13,0.18,0.12,0.14,0.17,0.18,0.12,0.15,0.14,0.17,0.17,0.20,0.31,0.18,0.18,0.17,0.23,0.30,0.30,0.27,0.27,0.30,0.33,0.42,0.73,0.69,1.06,0.86,0.59,0.56,0.72,0.74,0.82,0.87,1.27,2.02,1.85,1.52,1.88,2.13,2.40,0.98,0.12,0.22,0.14,0.11,0.30,0.39,0.39,1.01,2.13,2.52,2.48,2.31,4.36,4.55,4.89,3.86,4.38,4.39,4.69,5.76,5.12,7.22,9.71,8.09,6.86,3.29,4.68,4.01,5.68,3.95,0.94,4.65,7.57,11.80,6.78,9.07,11.15,12.01,10.29,12.39,14.51,16.02,15.93,13.60,17.66,19.28,18.72,20.79,23.68,27.95,30.24,34.51,33.49,38.87,44.48,45.91,45.78,49.76,55.72,53.13,51.02,56.45,55.53,57.01,60.03,63.65,56.60,47.07,45.05,46.13,53.85,57.50,62.08,56.56,57.13,56.28,54.70,53.96,55.84,61.25,57.70,63.54,62.17,58.87,58.37,56.67,62.14,64.55,72.33,68.70,56.77,68.03,66.52,58.32,55.53,63.78,56.47,50.96,51.39,47.38,44.06,46.96,44.44,45.51,42.24,37.49,37.73,35.74
