Downloaded from: https://www.eea.europa.eu/en/analysis/indicators/greenhouse-gas-emissions-from-transport/greenhouse-gas-emissions-from-transport

Publisher ,European Environment Agency,EEA

Sources ,https://www.eea.europa.eu/en/datahub/datahubitem-view/3b7fe76c-524a-439a-bfd2-a6e4046302a2?activeAccordion=1091606,European Environment Agency (EEA),"National emissions reported to the UNFCCC and to the EU under the Governance Regulation, April 2024"
 ,https://www.eea.europa.eu/en/datahub/datahubitem-view/f6e68f73-b494-4f8c-8c73-8a153a53f64a?activeAccordion=1090806,European Environment Agency (EEA),"Approximated estimates for greenhouse gas emissions, 2023"
 ,https://www.eea.europa.eu/en/datahub/datahubitem-view/4b8d94a4-aed7-4e67-a54c-0623a50f48e8?activeAccordion=1090805,European Environment Agency (EEA),Member States' greenhouse gas (GHG) emission projections 2024

Geographical coverage ,"Cyprus, Portugal, Spain, Malta, Denmark, Sweden, Netherlands, Austria, Belgium, Germany, Luxembourg, Ireland, France, Slovakia, Czechia, Italy, Slovenia, Croatia, Greece, Estonia, Latvia, Lithuania, Finland, Hungary, Bulgaria, Poland, Romania"

Historical GHG emissions: transport,Projections 'with additional measures': transport,Projections 'with existing measures': transport,Year,Estimate GHG emissions: transport,year

672,,,1990,,1990
681,,,1991,,1991
703,,,1992,,1992
706,,,1993,,1993
712,,,1994,,1994
725,,,1995,,1995
747,,,1996,,1996
756,,,1997,,1997
785,,,1998,,1998
802,,,1999,,1999
798,,,2000,,2000
812,,,2001,,2001
821,,,2002,,2002
828,,,2003,,2003
841,,,2004,,2004
843,,,2005,,2005
860,,,2006,,2006
863,,,2007,,2007
850,,,2008,,2008
823,,,2009,,2009
815,,,2010,,2010
806,,,2011,,2011
776,,,2012,,2012
770,,,2013,,2013
773,,,2014,,2014
793,,,2015,,2015
810,,,2016,,2016
823,,,2017,,2017
830,,,2018,,2018
833,,,2019,,2019
721,,,2020,,2020
779,,,2021,,2021
803,,,2022,803,2022
772,782,2023,797,2023
768,784,2024,,2024
761,786,2025,,2025
740,772,2026,,2026
711,755,2027,,2027
681,736,2028,,2028
651,717,2029,,2029
619,696,2030,,2030
599,680,2031,,2031
578,663,2032,,2032
557,646,2033,,2033
535,629,2034,,2034
513,611,2035,,2035
489,592,2036,,2036
466,575,2037,,2037
445,560,2038,,2038
425,545,2039,,2039
407,532,2040,,2040

















