fuel,sector,fuel_sector,month,value,yoy,unit
Coal,Electricity,Coal - Electricity,2018-01-01,1559035.736213825,-0.1547340162196682,t/day
Coal,Electricity,Coal - Electricity,2018-02-01,1698969.128725,-0.09271443676721036,t/day
Coal,Electricity,Coal - Electricity,2018-03-01,1565272.6909211979,0.006902203608062818,t/day
Coal,Electricity,Coal - Electricity,2018-04-01,1345726.5871466666,-0.05317719005670252,t/day
Coal,Electricity,Coal - Electricity,2018-05-01,1281159.3121737326,-0.1382970631004159,t/day
Coal,Electricity,Coal - Electricity,2018-06-01,1382591.64529,-0.04470359050264794,t/day
Coal,Electricity,Coal - Electricity,2018-07-01,1491039.8519299538,0.038615031903599606,t/day
Coal,Electricity,Coal - Electricity,2018-08-01,1486001.8969953915,0.025339275841786524,t/day
Coal,Electricity,Coal - Electricity,2018-09-01,1546768.4037271428,0.02135137832154199,t/day
Coal,Electricity,Coal - Electricity,2018-10-01,1563791.0946594467,-0.030915773935509372,t/day
Coal,Electricity,Coal - Electricity,2018-11-01,1616581.5813976189,-0.08026412763874569,t/day
Coal,Electricity,Coal - Electricity,2018-12-01,1492212.4726147463,-0.06843252661353938,t/day
Coal,Electricity,Coal - Electricity,2019-01-01,1516116.7684313364,-0.027529175108403137,t/day
Coal,Electricity,Coal - Electricity,2019-02-01,1543396.7375571427,-0.09156869806375312,t/day
Coal,Electricity,Coal - Electricity,2019-03-01,1250533.0250069124,-0.20107657134748458,t/day
Coal,Electricity,Coal - Electricity,2019-04-01,1187609.7492028573,-0.11749551465655683,t/day
Coal,Electricity,Coal - Electricity,2019-05-01,1058322.0657612903,-0.17393406447973758,t/day
Coal,Electricity,Coal - Electricity,2019-06-01,973609.6175857143,-0.2958082591469018,t/day
Coal,Electricity,Coal - Electricity,2019-07-01,1048934.572238249,-0.2965080236584273,t/day
Coal,Electricity,Coal - Electricity,2019-08-01,1014760.6658576035,-0.31712020831912124,t/day
Coal,Electricity,Coal - Electricity,2019-09-01,1131461.5748709522,-0.2684996847979658,t/day
Coal,Electricity,Coal - Electricity,2019-10-01,1183883.861840092,-0.242939887633833,t/day
Coal,Electricity,Coal - Electricity,2019-11-01,1303604.5850538095,-0.19360420775871057,t/day
Coal,Electricity,Coal - Electricity,2019-12-01,1174299.5655658985,-0.21304801620628544,t/day
Coal,Electricity,Coal - Electricity,2020-01-01,1171683.1282788017,-0.22718147264402733,t/day
Coal,Electricity,Coal - Electricity,2020-02-01,1006516.956104926,-0.3478559779139998,t/day
Coal,Electricity,Coal - Electricity,2020-03-01,909326.7066456222,-0.2728487065420797,t/day
Coal,Electricity,Coal - Electricity,2020-04-01,745095.3005580952,-0.3726093095326851,t/day
Coal,Electricity,Coal - Electricity,2020-05-01,651054.4440709677,-0.38482389705950226,t/day
Coal,Electricity,Coal - Electricity,2020-06-01,782417.6636138095,-0.1963743481150162,t/day
Coal,Electricity,Coal - Electricity,2020-07-01,787614.6436101382,-0.24912891189247222,t/day
Coal,Electricity,Coal - Electricity,2020-08-01,904655.4347511521,-0.10850364505742682,t/day
Coal,Electricity,Coal - Electricity,2020-09-01,1003202.5992828571,-0.11335689910876867,t/day
Coal,Electricity,Coal - Electricity,2020-10-01,1145523.3600442396,-0.032402250788543974,t/day
Coal,Electricity,Coal - Electricity,2020-11-01,1175373.2011914286,-0.09836677880132483,t/day
Coal,Electricity,Coal - Electricity,2020-12-01,1147890.7065175113,-0.02248903075737818,t/day
Coal,Electricity,Coal - Electricity,2021-01-01,1171614.568883871,-5.851359747022222e-5,t/day
Coal,Electricity,Coal - Electricity,2021-02-01,1134350.1107525511,0.12700546560320336,t/day
