fuel,sector,fuel_sector,month,value_3m,yoy,yoy_3m,unit
Total,All,Total - All,1990-01-01,NA,NA,NA,t/day
Total,All,Total - All,1990-02-01,NA,NA,NA,t/day
Total,All,Total - All,1990-03-01,11077883.331435222,NA,NA,t/day
Total,All,Total - All,1990-04-01,10453382.704468468,NA,NA,t/day
Total,All,Total - All,1990-05-01,9629230.787237072,NA,NA,t/day
Total,All,Total - All,1990-06-01,9166124.514849689,NA,NA,t/day
Total,All,Total - All,1990-07-01,9134574.61241541,NA,NA,t/day
Total,All,Total - All,1990-08-01,9210680.97219284,NA,NA,t/day
Total,All,Total - All,1990-09-01,9465784.203557149,NA,NA,t/day
Total,All,Total - All,1990-10-01,9757329.861124745,NA,NA,t/day
Total,All,Total - All,1990-11-01,10316150.16764147,NA,NA,t/day
Total,All,Total - All,1990-12-01,10672503.838180877,NA,NA,t/day
Total,All,Total - All,1991-01-01,11062751.098039696,0.006807706783760636,NA,t/day
Total,All,Total - All,1991-02-01,11276925.007119762,0.006555260802993068,NA,t/day
Total,All,Total - All,1991-03-01,11149408.106784655,0.005968481046764396,0.006456538059619099,t/day
Total,All,Total - All,1991-04-01,10508422.742322681,0.0029325511022750828,0.005265284875745069,t/day
Total,All,Total - All,1991-05-01,9661358.949502347,6.83083691073838e-4,0.003336524274385244,t/day
Total,All,Total - All,1991-06-01,9175269.300576396,-7.100360220677615e-4,9.976719945155033e-4,t/day
Total,All,Total - All,1991-07-01,9132327.333058637,-6.829450919701996e-4,-2.4601904873811087e-4,t/day
Total,All,Total - All,1991-08-01,9197772.972162468,-0.0028202591493879936,-0.001401416471739858,t/day
Total,All,Total - All,1991-09-01,9457507.118330915,7.558797431865827e-4,-8.744215004524714e-4,t/day
Total,All,Total - All,1991-10-01,9757657.48505627,0.001893640480924219,3.357721181806994e-5,t/day
Total,All,Total - All,1991-11-01,10338817.72861714,0.003792435054960297,0.002197288776075501,t/day
Total,All,Total - All,1991-12-01,10713541.312176378,0.005729958802481061,0.0038451589821584253,t/day
